sim_time_s,cmd_v_mps,cmd_w_rps,ideal_x_m,ideal_y_m,ideal_yaw_rad,gt_x_m,gt_y_m,gt_z_m,gt_yaw_rad
0.020,0.150000,0.000000,0.230220,-0.012934,-0.016433,0.227221,-0.012885,-0.000174,-0.016433
0.040,0.150000,0.000000,0.233220,-0.012983,-0.016433,0.230220,-0.012934,-0.000158,-0.016433
0.060,0.150000,0.000000,0.236220,-0.013033,-0.016433,0.233219,-0.012983,-0.000157,-0.016433
0.080,0.150000,0.000000,0.239219,-0.013082,-0.016433,0.236219,-0.013033,-0.000156,-0.016433
0.100,0.150000,0.000000,0.242219,-0.013131,-0.016433,0.239218,-0.013082,-0.000156,-0.016433
0.120,0.150000,0.000000,0.245218,-0.013181,-0.016433,0.242218,-0.013131,-0.000156,-0.016433
0.140,0.150000,0.000000,0.248218,-0.013230,-0.016433,0.245218,-0.013181,-0.000156,-0.016433
0.160,0.150000,0.000000,0.251218,-0.013279,-0.016433,0.248217,-0.013230,-0.000156,-0.016433
0.180,0.150000,0.000000,0.254217,-0.013328,-0.016433,0.251217,-0.013279,-0.000155,-0.016433
0.200,0.150000,0.000000,0.257217,-0.013378,-0.016433,0.254216,-0.013328,-0.000155,-0.016433
0.220,0.150000,0.000000,0.260216,-0.013427,-0.016433,0.257216,-0.013378,-0.000155,-0.016433
0.240,0.150000,0.000000,0.263216,-0.013476,-0.016433,0.260216,-0.013427,-0.000155,-0.016433
0.260,0.150000,0.000000,0.266216,-0.013526,-0.016433,0.263215,-0.013476,-0.000155,-0.016433
0.280,0.150000,0.000000,0.269215,-0.013575,-0.016433,0.266215,-0.013526,-0.000155,-0.016433
0.300,0.150000,0.000000,0.272215,-0.013624,-0.016433,0.269214,-0.013575,-0.000155,-0.016433
0.320,0.150000,0.000000,0.275214,-0.013673,-0.016433,0.272214,-0.013624,-0.000155,-0.016433
0.340,0.150000,0.000000,0.278214,-0.013723,-0.016433,0.275214,-0.013673,-0.000155,-0.016433
0.360,0.150000,0.000000,0.281214,-0.013772,-0.016433,0.278213,-0.013723,-0.000155,-0.016433
0.380,0.150000,0.000000,0.284213,-0.013821,-0.016433,0.281213,-0.013772,-0.000155,-0.016433
0.400,0.150000,0.000000,0.287213,-0.013871,-0.016433,0.284212,-0.013821,-0.000155,-0.016433
0.420,0.150000,0.000000,0.290212,-0.013920,-0.016433,0.287212,-0.013871,-0.000155,-0.016433
0.440,0.150000,0.000000,0.293212,-0.013969,-0.016433,0.290212,-0.013920,-0.000155,-0.016433
0.460,0.150000,0.000000,0.296212,-0.014019,-0.016433,0.293211,-0.013969,-0.000155,-0.016433
0.480,0.150000,0.000000,0.299211,-0.014068,-0.016433,0.296211,-0.014019,-0.000155,-0.016433
0.500,0.150000,0.000000,0.302211,-0.014117,-0.016433,0.299210,-0.014068,-0.000155,-0.016433
0.520,0.150000,0.000000,0.305210,-0.014166,-0.016433,0.302210,-0.014117,-0.000155,-0.016433
0.540,0.150000,0.000000,0.308210,-0.014216,-0.016433,0.305210,-0.014166,-0.000155,-0.016433
0.560,0.150000,0.000000,0.311210,-0.014265,-0.016433,0.308209,-0.014216,-0.000155,-0.016433
0.580,0.150000,0.000000,0.314209,-0.014314,-0.016433,0.311209,-0.014265,-0.000155,-0.016433
0.600,0.150000,0.000000,0.317209,-0.014364,-0.016433,0.314208,-0.014314,-0.000155,-0.016433
0.620,0.150000,0.000000,0.320208,-0.014413,-0.016433,0.317208,-0.014364,-0.000155,-0.016433
0.640,0.150000,0.000000,0.323208,-0.014462,-0.016433,0.320207,-0.014413,-0.000155,-0.016433
0.660,0.150000,0.000000,0.326208,-0.014512,-0.016433,0.323207,-0.014462,-0.000155,-0.016433
0.680,0.150000,0.000000,0.329207,-0.014561,-0.016433,0.326207,-0.014511,-0.000155,-0.016433
0.700,0.150000,0.000000,0.332207,-0.014610,-0.016433,0.329206,-0.014561,-0.000155,-0.016433
0.720,0.150000,0.000000,0.335206,-0.014659,-0.016433,0.332206,-0.014610,-0.000155,-0.016433
0.740,0.150000,0.000000,0.338206,-0.014709,-0.016433,0.335205,-0.014659,-0.000155,-0.016433
0.760,0.150000,0.000000,0.341205,-0.014758,-0.016433,0.338205,-0.014709,-0.000155,-0.016433
0.780,0.150000,0.000000,0.344205,-0.014807,-0.016433,0.341205,-0.014758,-0.000155,-0.016433
0.800,0.150000,0.000000,0.347205,-0.014857,-0.016433,0.344204,-0.014807,-0.000155,-0.016433
0.820,0.150000,0.000000,0.350204,-0.014906,-0.016433,0.347204,-0.014857,-0.000155,-0.016433
0.840,0.150000,0.000000,0.353204,-0.014955,-0.016433,0.350203,-0.014906,-0.000155,-0.016433
0.860,0.150000,0.000000,0.356203,-0.015004,-0.016433,0.353203,-0.014955,-0.000155,-0.016433
0.880,0.150000,0.000000,0.359203,-0.015054,-0.016433,0.356203,-0.015004,-0.000155,-0.016433
0.900,0.150000,0.000000,0.362203,-0.015103,-0.016433,0.357236,-0.015080,0.000020,0.011060
0.920,0.150000,0.000000,0.365202,-0.015152,-0.016433,0.357722,-0.015076,-0.000830,0.046339
0.940,0.150000,0.000000,0.368202,-0.015202,-0.016433,0.360723,-0.014909,-0.000413,0.046421
0.960,0.150000,0.000000,0.371201,-0.015251,-0.016433,0.363724,-0.014767,-0.000355,0.046427
0.980,0.150000,0.000000,0.374201,-0.015300,-0.016433,0.364771,-0.014714,-0.000105,0.073764
1.000,0.150000,0.000000,0.377201,-0.015350,-0.016433,0.366076,-0.014587,-0.000105,0.092769
1.020,0.150000,0.000000,0.380200,-0.015399,-0.016433,0.367415,-0.014424,-0.000107,0.111380
1.040,0.150000,0.000000,0.383200,-0.015448,-0.016433,0.368764,-0.014228,-0.000109,0.129847
1.060,0.150000,0.000000,0.386199,-0.015497,-0.016433,0.370118,-0.013998,-0.000111,0.148221
1.080,0.150000,0.000000,0.389199,-0.015547,-0.016433,0.371473,-0.013737,-0.000112,0.166536
1.100,0.150000,0.000000,0.392199,-0.015596,-0.016433,0.372826,-0.013444,-0.000112,0.184821
1.120,0.150000,0.000000,0.395198,-0.015645,-0.016433,0.374173,-0.013120,-0.000113,0.203124
1.140,0.150000,0.000000,0.398198,-0.015695,-0.016433,0.375511,-0.012766,-0.000113,0.221473
1.160,0.150000,0.000000,0.401197,-0.015744,-0.016433,0.376839,-0.012383,-0.000113,0.239872
1.180,0.150000,0.000000,0.404197,-0.015793,-0.016433,0.378156,-0.011969,-0.000113,0.258326
1.200,0.150000,0.000000,0.407197,-0.015843,-0.016433,0.379461,-0.011527,-0.000113,0.276842
1.220,0.150000,0.000000,0.410196,-0.015892,-0.016433,0.380754,-0.011056,-0.000113,0.295424
1.240,0.150000,0.000000,0.413196,-0.015941,-0.016433,0.382033,-0.010556,-0.000112,0.314080
1.260,0.150000,0.000000,0.416195,-0.015990,-0.016433,0.383297,-0.010029,-0.000112,0.332816
1.280,0.150000,0.000000,0.419195,-0.016040,-0.016433,0.384546,-0.009473,-0.000111,0.351639
1.300,0.150000,0.000000,0.422195,-0.016089,-0.016433,0.385779,-0.008891,-0.000111,0.370554
1.320,0.150000,0.000000,0.425194,-0.016138,-0.016433,0.386994,-0.008282,-0.000111,0.389569
1.340,0.150000,0.000000,0.428194,-0.016188,-0.016433,0.388191,-0.007647,-0.000110,0.408688
1.360,0.150000,0.000000,0.431193,-0.016237,-0.016433,0.389550,-0.006923,-0.000110,0.425716
1.380,0.150000,0.000000,0.434193,-0.016286,-0.016433,0.390904,-0.006169,-0.000110,0.442672
1.400,0.150000,0.000000,0.437193,-0.016335,-0.016433,0.392252,-0.005386,-0.000111,0.459571
1.420,0.150000,0.000000,0.440192,-0.016385,-0.016433,0.393593,-0.004575,-0.000111,0.476414
1.440,0.150000,0.000000,0.443192,-0.016434,-0.016433,0.394927,-0.003734,-0.000111,0.493198
1.460,0.150000,0.000000,0.446191,-0.016483,-0.016433,0.396253,-0.002865,-0.000111,0.509924
1.480,0.150000,0.000000,0.449191,-0.016533,-0.016433,0.397572,-0.001967,-0.000111,0.526590
1.500,0.150000,0.000000,0.452191,-0.016582,-0.016433,0.398883,-0.001040,-0.000111,0.543195
1.520,0.150000,0.000000,0.455190,-0.016631,-0.016433,0.400185,-0.000086,-0.000111,0.559739
1.540,0.150000,0.000000,0.458190,-0.016681,-0.016433,0.401478,0.000897,-0.000111,0.576220
1.560,0.150000,0.000000,0.461189,-0.016730,-0.016433,0.402763,0.001907,-0.000111,0.592637
1.580,0.150000,0.000000,0.464189,-0.016779,-0.016433,0.404038,0.002945,-0.000111,0.608989
1.600,0.150000,0.000000,0.467188,-0.016828,-0.016433,0.405303,0.004010,-0.000111,0.625274
1.620,0.150000,0.000000,0.470188,-0.016878,-0.016433,0.406559,0.005102,-0.000111,0.641492
1.640,0.150000,0.000000,0.473188,-0.016927,-0.016433,0.407804,0.006222,-0.000112,0.657642
1.660,0.150000,0.000000,0.476187,-0.016976,-0.016433,0.409039,0.007368,-0.000112,0.673722
1.680,0.150000,0.000000,0.479187,-0.017026,-0.016433,0.410263,0.008540,-0.000112,0.689730
1.700,0.150000,0.000000,0.482186,-0.017075,-0.016433,0.411476,0.009739,-0.000112,0.705667
1.720,0.150000,0.000000,0.485186,-0.017124,-0.016433,0.412677,0.010965,-0.000112,0.721529
1.740,0.150000,0.000000,0.488186,-0.017173,-0.016433,0.413832,0.010701,-0.000108,0.737844
1.760,0.150000,0.000000,0.491185,-0.017223,-0.016433,0.415004,0.011782,-0.000105,0.753646
1.780,0.150000,0.000000,0.494185,-0.017272,-0.016433,0.416041,0.011526,-0.000113,0.771250
1.800,0.150000,0.000000,0.497184,-0.017321,-0.016433,0.417311,0.011693,-0.000112,0.788398
1.820,0.150000,0.000000,0.500184,-0.017371,-0.016433,0.418564,0.011892,-0.000113,0.805456
1.840,0.150000,0.000000,0.503184,-0.017420,-0.016433,0.419801,0.012083,-0.000113,0.822389
1.860,0.150000,0.000000,0.506183,-0.017469,-0.016433,0.421022,0.012286,-0.000113,0.839218
1.880,0.150000,0.000000,0.509183,-0.017519,-0.016433,0.422224,0.012501,-0.000113,0.855942
1.900,0.150000,0.000000,0.512182,-0.017568,-0.016433,0.423409,0.012728,-0.000113,0.872560
1.920,0.150000,0.000000,0.515182,-0.017617,-0.016433,0.424575,0.012968,-0.000113,0.889068
1.940,0.150000,0.000000,0.518182,-0.017666,-0.016433,0.425723,0.013221,-0.000113,0.905462
1.960,0.150000,0.000000,0.521181,-0.017716,-0.016433,0.426853,0.013486,-0.000113,0.921741
1.980,0.150000,0.000000,0.524181,-0.017765,-0.016433,0.427964,0.013764,-0.000113,0.937900
2.000,0.150000,0.000000,0.527180,-0.017814,-0.016433,0.429056,0.014054,-0.000113,0.953938
2.020,0.150000,0.000000,0.530180,-0.017864,-0.016433,0.430129,0.014355,-0.000113,0.969850
2.040,0.150000,0.000000,0.533180,-0.017913,-0.016433,0.431182,0.014668,-0.000113,0.985636
